Id,Name,Type,Level,Race,Attribute,ATK,DEF
3417,Score the Melodious Diva,Effect Monster,2,Fairy,LIGHT,200,200
3418,Guldfaxe of the Nordic Beasts,Tuner Monster,4,Beast,LIGHT,1600,1000
3419,Jowgen the Spiritualist,Effect Monster,3,Spellcaster,LIGHT,200,1300
3420,Vylon Matter,Spell Card,,Normal,,,
3421,Burning Algae,Effect Monster,3,Pyro,FIRE,500,1500
3422,Swarm of Locusts,Effect Monster,3,Insect,DARK,1000,500
3423,Blackwing - Kochi the Daybreak,Tuner Monster,4,Winged Beast,DARK,700,1500
3424,Bark of Dark Ruler,Trap Card,,Normal,,,
3425,Dark Smog,Trap Card,,Continuous,,,
3426,Destruction Swordsman Fusion,Spell Card,,Quick-Play,,,
3427,Dark Assailant,Normal Monster,4,Zombie,DARK,1200,1200
3428,Imairuka,Effect Monster,2,Sea Serpent,WATER,1000,1000
3429,Mist Valley Executor,Effect Monster,5,Thunder,WIND,2100,1600
3430,Performapal Trump Girl,Pendulum Effect Monster,2,Spellcaster,DARK,200,200
3431,Fossil Dyna Pachycephalo,Effect Monster,4,Rock,EARTH,1200,1300
3432,Neo Space,Spell Card,,Field,,,
3433,Alpha The Electromagnet Warrior,Effect Monster,3,Rock,EARTH,1700,1100
3434,XX-Saber Gardestrike,Effect Monster,5,Beast-Warrior,EARTH,2100,1400
3435,Serenade the Melodious Diva,Effect Monster,4,Fairy,LIGHT,400,1900
3436,Panther Warrior,Effect Monster,4,Beast-Warrior,EARTH,2000,1600
3437,Panther Warrior,Effect Monster,4,Beast-Warrior,EARTH,2000,1600
3438,Sea Serpent Warrior of Darkness,Normal Monster,4,Sea Serpent,WATER,1800,1500
3439,Descending Lost Star,Trap Card,,Normal,,,
3440,Gusto Griffin,Effect Monster,2,Winged Beast,WIND,800,300
3441,Naturia Butterfly,Tuner Monster,3,Insect,EARTH,500,1200
3442,Hi-Speedroid Chanbara,Synchro Monster,5,Machine,WIND,2000,1000
3443,Big Koala,Normal Monster,7,Beast,EARTH,2700,2000
3444,Doki Doki,Effect Monster,2,Rock,EARTH,500,500
3445,Genomix Fighter,Tuner Monster,6,Psychic,WIND,2200,1100
3446,Widespread Dud,Trap Card,,Continuous,,,
3447,Volcanic Eruption,Trap Card,,Normal,,,
3448,Cursed Bamboo Sword,Spell Card,,Equip,,,
3449,Angel of Zera,Synchro Monster,8,Fairy,LIGHT,2800,2300
3450,Battleguard Rage,Trap Card,,Continuous,,,
3451,Metalhold the Moving Blockade,Trap Card,,Continuous,,,
3452,Chrysalis Mole,Effect Monster,2,Rock,EARTH,700,100
3453,Card Blocker,Effect Monster,3,Warrior,EARTH,400,400
3454,Oracle of the Sun,Effect Monster,5,Spellcaster,LIGHT,1000,2000
3455,Flower Cardian Lightshower,Synchro Monster,8,Warrior,DARK,3000,3000
3456,Reptilianne Viper,Tuner Monster,2,Reptile,DARK,0,0
3457,Counter Counter,Trap Card,,Counter,,,
3458,Soundproofed,Spell Card,,Normal,,,
3459,Wind-Up Bat,Effect Monster,1,Machine,WIND,300,350
3460,Cockadoodledoo,Tuner Monster,5,Winged Beast,WIND,1600,2000
3461,Trakodon,Normal Monster,3,Dinosaur,EARTH,1300,800
3462,Anti Raigeki,Trap Card,,Normal,,,
3463,Arsenal Bug,Effect Monster,3,Insect,EARTH,2000,2000
3464,Toon Gemini Elf,Toon Monster,4,Spellcaster,EARTH,1900,900
3465,Constellar Antares,Effect Monster,6,Machine,LIGHT,2400,900
3466,Winged Egg of New Life,Normal Monster,5,Fairy,LIGHT,1400,1700
3467,Sealing Ceremony of Raiton,Trap Card,,Continuous,,,
3468,Ancient Brain,Normal Monster,3,Fiend,DARK,1000,700
3469,Spined Gillman,Effect Monster,3,Sea Serpent,WATER,1300,0
3470,Ayers Rock Sunrise,Spell Card,,Normal,,,
3471,Silent Doom,Spell Card,,Normal,,,
3472,Coach Goblin,Effect Monster,4,Fiend,EARTH,1200,1500
3473,Bujingi Boar,Effect Monster,4,Beast,LIGHT,1100,1900
3474,Performapal Skeeter Skimmer,Effect Monster,4,Insect,WATER,500,1600
3475,Coral Dragon,Synchro Tuner Monster,6,Dragon,WATER,2400,500
3476,Eatgaboon,Trap Card,,Normal,,,
3477,Stellarknight Triverr,XYZ Monster,4,Warrior,LIGHT,2100,2500
3478,Laughing Flower,Normal Monster,2,Plant,EARTH,900,500
3479,Gladiator Beast Alexander,Effect Monster,6,Beast,LIGHT,2400,600
3480,Special Hurricane,Spell Card,,Normal,,,
3481,Flame Champion,Normal Monster,5,Pyro,FIRE,1900,1300
3482,Cyber Tutubon,Effect Monster,5,Warrior,EARTH,1800,1600
3483,Little D,Normal Monster,3,Dinosaur,EARTH,1100,700
3484,Ryu-Kishin Clown,Effect Monster,2,Fiend,DARK,800,500
3485,Card of Sanctity,Spell Card,,Normal,,,
3486,The Golden Apples,Trap Card,,Normal,,,
3487,Malus Token,Token,,Fiend,,,
3488,Evilswarm Azzathoth,Flip Effect Monster,4,Reptile,DARK,750,1950
3489,Chrysalis Dolphin,Effect Monster,2,Fish,WATER,400,600
3490,Emissary from Pandemonium,Tuner Monster,7,Fiend,EARTH,2600,1800
3491,Giant Trunade,Spell Card,,Normal,,,
3492,Phalanx Pike,Spell Card,,Equip,,,
3493,Subterror Behemoth Umastryx,Flip Effect Monster,7,Reptile,EARTH,2000,2700
3494,XX-Saber Emmersblade,Effect Monster,3,Insect,EARTH,1300,800
3495,Evolzar Dolkka,XYZ Monster,4,Dragon,FIRE,2300,1700
3496,Follow Wing,Trap Card,,Continuous,,,
3497,Relay Soul,Trap Card,,Normal,,,
3498,Nordic Relic Brisingamen,Trap Card,,Normal,,,
3499,Junk Archer,Synchro Monster,7,Warrior,EARTH,2300,2000
3500,The Forceful Sentry,Spell Card,,Normal,,,
3501,Jumbo Drill,Effect Monster,4,Machine,EARTH,1800,100
3502,Gora Turtle of Illusion,Effect Monster,4,Aqua,WATER,1200,1400
3503,Wind-Up Rabbit,Effect Monster,3,Beast-Warrior,EARTH,1400,600
3504,Ancient Gear Hunting Hound,Effect Monster,3,Machine,EARTH,1000,1000
3505,Superheavy Samurai General Jade,Pendulum Effect Monster,8,Machine,EARTH,1800,2800
3506,Wodan the Resident of the Forest,Effect Monster,3,Warrior,EARTH,900,1200
3507,Berserkion the Electromagna Warrior,Effect Monster,8,Rock,EARTH,3000,2800
3508,Fairy Tail - Sleeper,Flip Effect Monster,4,Spellcaster,LIGHT,1850,1000
3509,Machina Gearframe,Union Effect Monster,4,Machine,EARTH,1800,0
3510,Ojama Yellow,Normal Monster,2,Beast,LIGHT,0,1000
3511,Spiritual Fire Art - Kurenai,Trap Card,,Normal,,,
3512,Nightmare Archfiends,Trap Card,,Normal,,,
3513,Nightmare Archfiend Token,Token,,Fiend,,,
3514,Aye-Iron,Effect Monster,4,Machine,EARTH,1600,1800
3515,Wandering Mummy,Effect Monster,4,Zombie,EARTH,1500,1500
3516,Reptilianne Gardna,Effect Monster,4,Reptile,WATER,0,2000
3517,Vice Berserker,Effect Monster,4,Fiend,DARK,1000,1000
3518,Laser Qlip,Spell Card,,Field,,,
3519,Monster Gate,Spell Card,,Normal,,,
3520,Fire Darts,Trap Card,,Normal,,,
3521,Alexandrite Dragon,Normal Monster,4,Dragon,LIGHT,2000,100
3522,Gem-Knight Sardonyx,Gemini Monster,4,Pyro,EARTH,1800,900
3523,Xyz Remora,Effect Monster,4,Fish,WATER,800,800
3524,Worm Bait,Spell Card,,Normal,,,
3525,Worm Token,Token,,Insect,,,
3526,Toon Kingdom,Spell Card,,Field,,,
3527,Phantom Dragonray Bronto,Gemini Monster,4,Fish,WATER,1500,1000
3528,"Yazi, Evil of the Yang Zing",Synchro Monster,7,Wyrm,DARK,2600,2100
3529,Battle Fusion,Spell Card,,Quick-Play,,,
3530,Ancient Lizard Warrior,Normal Monster,4,Reptile,EARTH,1400,1100
3531,Neo-Spacian Dark Panther,Effect Monster,3,Beast,DARK,1000,500
3532,Performapal Trampolynx,Pendulum Effect Monster,2,Beast,EARTH,300,300
3533,Draining Shield,Trap Card,,Normal,,,
3534,Appointer of the Red Lotus,Trap Card,,Normal,,,
3535,PSY-Frame Multi-Threader,Effect Monster,6,Psychic,LIGHT,0,2500
3536,Opera the Melodious Diva,Effect Monster,4,Fairy,LIGHT,2300,1000
3537,Cloudian - Cirrostratus,Effect Monster,4,Fairy,WATER,900,0
3538,Jurrac Gallim,Tuner Monster,2,Dinosaur,FIRE,1200,0
3539,Forced Back,Trap Card,,Counter,,,
3540,Nekogal 2,Normal Monster,6,Beast-Warrior,EARTH,1900,2000
3541,Sergeant Electro,Effect Monster,4,Machine,FIRE,1600,1300
3542,Seven Swords Warrior,Synchro Monster,7,Warrior,EARTH,2300,1800
3543,Armityle the Chaos Phantom,Fusion Monster,12,Fiend,DARK,0,0
3544,Rasetsu,Spirit Monster,4,Fairy,FIRE,1500,1900
3545,Rank-Up-Magic Raptor's Force,Spell Card,,Quick-Play,,,
3546,Magical Android,Synchro Monster,5,Psychic,LIGHT,2400,1700
3547,D - Chain,Trap Card,,Normal,,,
3548,Flower Cardian Zebra Grass with Moon,Effect Monster,8,Warrior,DARK,2000,2000
3549,Commencement Dance,Spell Card,,Ritual,,,
3550,Double Summon,Spell Card,,Normal,,,
3551,Reptilianne Gorgon,Effect Monster,3,Reptile,DARK,1400,1400
3552,The Shallow Grave,Spell Card,,Normal,,,
3553,Junk Breaker,Effect Monster,4,Warrior,EARTH,1800,1000
3554,Mirror Gate,Trap Card,,Normal,,,
3555,Magical Spring,Spell Card,,Quick-Play,,,
3556,Rank-Up-Magic Revolution Force,Spell Card,,Quick-Play,,,
3557,White Hole,Trap Card,,Normal,,,
3558,Darkworld Thorns,Normal Monster,3,Plant,EARTH,1200,900
3559,Toon Defense,Trap Card,,Continuous,,,
3560,Constellar Acubens,Effect Monster,4,Machine,LIGHT,800,2000
3561,Hourglass of Courage,Effect Monster,4,Fairy,LIGHT,1100,1200
3562,Izanami,Spirit Monster,4,Fairy,WATER,1100,1800
3563,Morpho Butterspy,Effect Monster,4,Warrior,DARK,1200,1600
3564,Yang Zing Prana,Spell Card,,Continuous,,,
3565,Emes the Infinity,Effect Monster,7,Machine,LIGHT,2500,2000
3566,Twin-Headed Behemoth,Effect Monster,3,Dragon,WIND,1500,1200
3567,Tailor of the Fickle,Spell Card,,Quick-Play,,,
3568,Zombie Mammoth,Effect Monster,4,Zombie,EARTH,1900,0
3569,Cocoon Rebirth,Spell Card,,Continuous,,,
3570,U.A. Signing Deal,Spell Card,,Normal,,,
3571,"Star Light, Star Bright",Spell Card,,Normal,,,
3572,Novox's Prayer,Spell Card,,Ritual,,,
3573,Blizzard Falcon,Effect Monster,4,Winged Beast,WATER,1500,1500
3574,Jetroid,Effect Monster,4,Machine,WIND,1200,1800
3575,Frightfur Factory,Spell Card,,Continuous,,,
3576,Hazy Glory,Trap Card,,Continuous,,,
3577,Minoan Centaur,Effect Monster,6,Beast-Warrior,EARTH,1800,1000
3578,Prohibition,Spell Card,,Continuous,,,
3579,Man-Thro' Tro',Effect Monster,4,Beast-Warrior,EARTH,1000,1000
3580,Poison Mummy,Flip Effect Monster,4,Zombie,EARTH,1000,1800
3581,Windwitch - Ice Bell,Effect Monster,3,Spellcaster,WIND,1000,1000
3582,Holding Arms,Effect Monster,4,Fiend,DARK,500,1200
3583,Brotherhood of the Fire Fist - Dragon,Effect Monster,4,Beast-Warrior,FIRE,1800,400
3584,Chrysalis Pantail,Effect Monster,2,Beast,DARK,800,300
3585,Foucault's Cannon,Pendulum Normal Monster,5,Spellcaster,DARK,2200,1200
3586,Phoenix Beast Gairuda,Effect Monster,6,Winged Beast,WIND,2500,1200
3587,Giga Gagagigo,Normal Monster,5,Reptile,WATER,2450,1500
3588,Warrior of Atlantis,Effect Monster,4,Aqua,WATER,1900,1200
3589,Photon Current,Trap Card,,Normal,,,
3590,Spellbook of Miracles,Spell Card,,Normal,,,
3591,Neutron Blast,Spell Card,,Normal,,,
3592,Forgotten Temple of the Deep,Trap Card,,Continuous,,,
3593,Dark Magician Girl the Dragon Knight,Fusion Monster,7,Dragon,DARK,2600,1700
3594,Twin Twisters,Spell Card,,Quick-Play,,,
3595,Madjinn Gunn,Normal Monster,2,Fiend,DARK,600,800
3596,Blackwing - Boobytrap,Trap Card,,Normal,,,
3597,Celestia,Spell Card,,Field,,,
3598,Windmill Genex,Synchro Monster,7,Machine,WIND,2000,1600
3599,Magical Something,Effect Monster,4,Spellcaster,DARK,1800,1300
3600,Naturia Landoise,Synchro Monster,7,Rock,EARTH,2350,1600
3601,Metamorphortress,Trap Card,,Continuous,,,
3602,The Flute of Summoning Dragon,Spell Card,,Normal,,,
3603,Blackback,Trap Card,,Normal,,,
3604,Gravity Warrior,Synchro Monster,6,Warrior,EARTH,2100,1000
3605,Dimension Gate,Trap Card,,Continuous,,,
3606,Ancient Gear Catapult,Spell Card,,Normal,,,
3607,Ancient Gear Token,Token,,Machine,,,
3608,Supply,Flip Effect Monster,4,Warrior,EARTH,1300,800
3609,Takriminos,Normal Monster,4,Sea Serpent,WATER,1500,1200
3610,Poly-Chemicritter Dioxogre,Gemini Monster,8,Fiend,DARK,2800,200
3611,Mirror Force,Trap Card,,Normal,,,
3612,Rose Fairy,Effect Monster,3,Plant,WIND,600,1200
3613,The Fabled Unicore,Synchro Monster,4,Beast,LIGHT,2300,1000
3614,"Ehren, Lightsworn Monk",Effect Monster,4,Warrior,LIGHT,1600,1000
3615,Samsara,Spell Card,,Continuous,,,
3616,Robotic Knight,Normal Monster,4,Machine,FIRE,1600,1800
3617,Castle Walls,Trap Card,,Normal,,,
3618,Abyssal Kingshark,Effect Monster,4,Fish,WATER,1700,600
3619,Necro Linker,Effect Monster,2,Fiend,DARK,600,0
3620,Gagaga Clerk,Effect Monster,2,Warrior,EARTH,400,800
3621,1st Movement Solo,Spell Card,,Normal,,,
3622,Star Seraph Sage,Effect Monster,4,Fairy,LIGHT,1600,1400
3623,Masaki the Legendary Swordsman,Normal Monster,4,Warrior,EARTH,1100,1100
3624,Madolche Puddingcess Chocolat-a-la-Mode,XYZ Monster,5,Fairy,EARTH,2500,2200
3625,Gorz the Emissary of Darkness,Effect Monster,7,Fiend,DARK,2700,2500
3626,Emissary of Darkness Token,Token,,Fairy,,,
3627,Dark Bug,Effect Monster,1,Insect,DARK,100,100
3628,Performapal Salutiger,Effect Monster,4,Beast-Warrior,EARTH,1700,500
3629,Jade Knight,Effect Monster,4,Machine,LIGHT,1000,1800
3630,Shaddoll Fusion,Spell Card,,Normal,,,
3631,Red-Eyes Spirit,Trap Card,,Normal,,,
3632,Red-Eyes Flare Metal Dragon,XYZ Monster,7,Dragon,DARK,2800,2400
3633,Morphtronic Accelerator,Spell Card,,Normal,,,
3634,Chamberlain of the Six Samurai,Normal Monster,3,Warrior,EARTH,200,2000
3635,Double Coston,Effect Monster,4,Zombie,DARK,1700,1650
3636,Solar Ray,Trap Card,,Normal,,,
3637,Performapal Camelump,Pendulum Effect Monster,4,Beast,EARTH,800,1800
3638,Xyz Block,Trap Card,,Counter,,,
3639,Inzektor Exa-Beetle,XYZ Monster,6,Insect,DARK,1000,1000
3640,Stardust Dragon,Synchro Monster,8,Dragon,WIND,2500,2000
3641,Pinpoint Guard,Trap Card,,Normal,,,
3642,Left Leg of the Forbidden One,Normal Monster,1,Spellcaster,DARK,200,300
3643,Damage = Reptile,Trap Card,,Continuous,,,
3644,Light of Judgment,Trap Card,,Normal,,,
3645,Constellar Siat,Effect Monster,1,Fairy,LIGHT,100,1600
3646,Messenger of Peace,Spell Card,,Continuous,,,
3647,Ghost Fairy Elfobia,Effect Monster,3,Psychic,WIND,900,500
3648,Herald of Perfection,Ritual Effect Monster,6,Fairy,LIGHT,1800,2800
3649,Hero Barrier,Trap Card,,Normal,,,
3650,Garbage Lord,Effect Monster,5,Fiend,DARK,0,2400
3651,Jurrac Spinos,Effect Monster,7,Dinosaur,FIRE,2600,1700
3652,Spinos Token,Token,,Dinosaur,,,
3653,Bitelon,Effect Monster,6,Reptile,WATER,2400,1000
3654,Starfish,Effect Monster,3,Aqua,WATER,300,300
3655,Steamroid,Effect Monster,4,Machine,EARTH,1800,1800
3656,Opti-Camouflage Armor,Spell Card,,Equip,,,
3657,Delinquent Duo,Spell Card,,Normal,,,
3658,The Terminus of the Burning Abyss,Spell Card,,Normal,,,
3659,Naturia Beans,Effect Monster,2,Plant,EARTH,100,1200
3660,Hammer Bounzer,Effect Monster,6,Warrior,EARTH,2300,2000
3661,D.D. Destroyer,Effect Monster,4,Warrior,EARTH,1000,1000
3662,Combo Master,Effect Monster,5,Warrior,WIND,2200,1500
3663,Worm Linx,Flip Effect Monster,2,Reptile,LIGHT,300,1000
3664,Brotherhood of the Fire Fist - Raven,Effect Monster,3,Beast-Warrior,FIRE,200,1800
3665,Cyber Soldier,Normal Monster,5,Machine,DARK,1500,1700
3666,Ancient Gear Reactor Dragon,Effect Monster,9,Machine,EARTH,3000,3000
3667,Sacred Spirit of the Ice Barrier,Spirit Monster,4,Zombie,WATER,1600,1200
3668,Double Defender,Spell Card,,Continuous,,,
3669,Des Croaking,Spell Card,,Normal,,,
3670,Miracle Fertilizer,Spell Card,,Continuous,,,
3671,Saber Hole,Trap Card,,Counter,,,
3672,Victory Dragon,Effect Monster,8,Dragon,DARK,2400,3000
3673,Timeater,Effect Monster,6,Machine,DARK,1900,1700
3674,Fire Formation - Tensen,Trap Card,,Continuous,,,
3675,World Carrotweight Champion,Effect Monster,4,Plant,DARK,1900,0
3676,Burden of the Mighty,Spell Card,,Continuous,,,
3677,B.E.S. Tetran,Effect Monster,6,Machine,WIND,1800,2300
3678,Silent Burning,Spell Card,,Quick-Play,,,
3679,The Legendary Fisherman III,Effect Monster,7,Warrior,WATER,2500,2000
3680,Flowerbot,Effect Monster,3,Plant,EARTH,1500,800
3681,Lightning Punisher,Effect Monster,7,Thunder,DARK,2600,1600
3682,Ally of Justice Enemy Catcher,Effect Monster,6,Machine,DARK,1800,1800
3683,Chevalier de Fleur,Synchro Monster,8,Warrior,WIND,2700,2300
3684,Koa'ki Meiru Guardian,Effect Monster,4,Rock,EARTH,1900,1200
3685,Tripwire Beast,Normal Monster,4,Thunder,EARTH,1200,1300
3686,Ocean's Keeper,Effect Monster,3,Fish,WATER,1500,1200
3687,ZW - Lightning Blade,Effect Monster,5,Beast,LIGHT,1200,2000
3688,Risebell the Summoner,Pendulum Normal Monster,3,Psychic,WIND,800,800
3689,Spell Recycler,Effect Monster,1,Spellcaster,DARK,0,0
3690,Ogre of the Black Shadow,Normal Monster,4,Beast-Warrior,EARTH,1200,1400
3691,Call of the Reaper,Trap Card,,Normal,,,
3692,Heat Wave,Spell Card,,Normal,,,
3693,Old Vindictive Magician,Flip Effect Monster,2,Spellcaster,DARK,450,600
3694,Moai Interceptor Cannons,Effect Monster,4,Rock,EARTH,1100,2000
3695,Vision HERO Adoration,Fusion Monster,8,Warrior,DARK,2800,2100
3696,Full House,Trap Card,,Normal,,,
3697,Raidraptor - Skull Eagle,Effect Monster,3,Winged Beast,DARK,1000,500
3698,Vylon Delta,Synchro Monster,7,Fairy,LIGHT,1700,2800
3699,Evigishki Gustkraken,Ritual Effect Monster,6,Aqua,WATER,2400,1000
3700,Flame Swordsman,Fusion Monster,5,Warrior,FIRE,1800,1600
3701,Mark of the Rose,Spell Card,,Equip,,,
3702,Saambell the Summoner,Effect Monster,2,Spellcaster,WIND,600,400
3703,Geargiano Mk-III,Effect Monster,3,Machine,EARTH,1000,1000
3704,Scarred Warrior,Synchro Monster,5,Warrior,EARTH,2100,1000
3705,Symbol of Heritage,Spell Card,,Equip,,,
3706,Goblin Thief,Spell Card,,Normal,,,
3707,Red Warg,Effect Monster,6,Fiend,FIRE,1400,2200
3708,Archfiend Black Skull Dragon,Fusion Monster,9,Dragon,DARK,3200,2500
3709,Mirror Ladybug,Effect Monster,1,Insect,LIGHT,100,100
3710,Psychic Lifetrancer,Synchro Monster,7,Psychic,EARTH,2400,2000
3711,Triamid Cruiser,Spell Card,,Field,,,
3712,Red-Eyes Transmigration,Spell Card,,Ritual,,,
3713,Fairy King Truesdale,Effect Monster,6,Plant,WATER,2200,1500
3714,Laval Coatl,Tuner Monster,2,Pyro,FIRE,1300,700
3715,Ally of Justice Omni-Weapon,Effect Monster,5,Machine,DARK,2200,800
3716,Kinka-byo,Spirit Monster,1,Beast,DARK,400,200
3717,Gearspring Spirit,Effect Monster,8,Machine,DARK,100,100
3718,Dark Red Enchanter,Effect Monster,6,Spellcaster,DARK,1700,2200
3719,Dragon Spirit of White,Effect Monster,8,Dragon,LIGHT,2500,2000
3720,Super Defense Robot Elephan,Effect Monster,8,Machine,EARTH,1400,2500
3721,Queen of Thorns,Synchro Monster,6,Plant,LIGHT,2200,1800
3722,Celtic Guard of Noble Arms,Effect Monster,4,Warrior,EARTH,2100,700
3723,Raidraptor - Blaze Falcon,XYZ Monster,5,Winged Beast,DARK,1000,2000
3724,Birdface,Effect Monster,4,Winged Beast,WIND,1600,1600
3725,Ally of Justice Cyclone Creator,Tuner Monster,3,Machine,DARK,1400,1200
3726,Performapal Extra Slinger,Pendulum Effect Monster,3,Spellcaster,DARK,800,1100
3727,Morphtronic Magnen Bar,Effect Monster,1,Thunder,EARTH,100,100
3728,"Draghig, Malebranche of the Burning Abyss",Effect Monster,3,Fiend,DARK,1100,900
3729,Noisy Gnat,Effect Monster,2,Insect,EARTH,700,300
3730,Odd-Eyes Rebellion Dragon,XYZ Pendulum Effect Monster,7,Dragon,DARK,3000,2500
3731,Master with Eyes of Blue,Tuner Monster,1,Spellcaster,LIGHT,300,1200
3732,Mimimic,Effect Monster,3,Machine,EARTH,300,300
3733,Rain Storm,Trap Card,,Normal,,,
3734,Gem-Knight Iolite,Gemini Monster,4,Aqua,EARTH,1300,2000
3735,Karakuri Spider,Effect Monster,2,Machine,EARTH,400,500
3736,Heraldic Beast Unicorn,Effect Monster,4,Beast,LIGHT,1100,1600
3737,Jurrac Ptera,Effect Monster,3,Dinosaur,FIRE,800,1500
3738,Sacred Sword of Seven Stars,Spell Card,,Normal,,,
3739,Pilgrim Reaper,XYZ Monster,6,Zombie,DARK,0,0
3740,Rising Air Current,Spell Card,,Field,,,
3741,Wattlemur,Effect Monster,2,Thunder,LIGHT,800,100
3742,Traptrix Dionaea,Effect Monster,4,Plant,EARTH,1700,1100
3743,Destiny Draw,Spell Card,,Normal,,,
3744,Cardcar D,Effect Monster,2,Machine,EARTH,800,400
3745,Scrap Archfiend,Synchro Monster,7,Fiend,EARTH,2700,1800
3746,Quick Booster,Spell Card,,Quick-Play,,,
3747,Lost Guardian,Effect Monster,4,Rock,EARTH,100,0
3748,Gilasaurus,Effect Monster,3,Dinosaur,EARTH,1400,400
3749,Dark-Piercing Light,Spell Card,,Normal,,,
3750,Bonding - H2O,Spell Card,,Normal,,,
3751,Miracle Fusion,Spell Card,,Normal,,,
3752,Moon Envoy,Normal Monster,4,Warrior,LIGHT,1100,1000
3753,Little Fairy,Effect Monster,3,Fairy,LIGHT,800,800
3754,Twister,Spell Card,,Quick-Play,,,
3755,Cycroid,Normal Monster,3,Machine,EARTH,800,1000
3756,Rank-Up-Magic Astral Force,Spell Card,,Normal,,,
3757,Dark Contract with the Yamimakai,Spell Card,,Continuous,,,
3758,Solar Flare Dragon,Effect Monster,4,Pyro,FIRE,1500,1000
3759,Snatch Steal,Spell Card,,Equip,,,
3760,Noble Arms - Excaliburn,Spell Card,,Equip,,,
3761,Beast Fangs,Spell Card,,Equip,,,
3762,Damage Polarizer,Trap Card,,Counter,,,
3763,Guardian Tryce,Effect Monster,5,Thunder,LIGHT,1900,1700
3764,Gusto Falco,Tuner Monster,2,Winged Beast,WIND,600,1400
3765,Advanced Ritual Art,Spell Card,,Ritual,,,
3766,Zoodiac Barrage,Spell Card,,Continuous,,,
3767,Performance Hurricane,Spell Card,,Normal,,,
3768,Attraffic Control,Spell Card,,Continuous,,,
3769,Koa'ki Ring,Spell Card,,Normal,,,
3770,Ebon Magician Curran,Effect Monster,2,Spellcaster,DARK,1200,0
3771,Hinotama,Spell Card,,Normal,,,
3772,Powered Inzektron,Synchro Monster,6,Machine,LIGHT,2500,1600
3773,Barrier Statue of the Heavens,Effect Monster,4,Fairy,LIGHT,1000,1000
3774,Gishki Aquamirror,Spell Card,,Ritual,,,
3775,Fires of Doomsday,Spell Card,,Quick-Play,,,
3776,Doomsday Token,Token,,Fiend,,,
3777,Doomsday Token,Token,,Fiend,,,
3778,Frontline Base,Spell Card,,Continuous,,,
3779,Turbo Warrior,Synchro Monster,6,Warrior,WIND,2500,1500
3780,The Claw of Hermos,Spell Card,,Normal,,,
3781,Knight of the Red Lotus,Effect Monster,6,Warrior,FIRE,2100,1800
3782,Dupe Frog,Effect Monster,2,Aqua,WATER,100,2000
3783,Tao the Chanter,Normal Monster,3,Spellcaster,EARTH,1200,900
3784,Bad Aim,Trap Card,,Normal,,,
3785,Contract Laundering,Trap Card,,Normal,,,
3786,Earthbound Immortal Ccapac Apu,Effect Monster,10,Fiend,DARK,3000,2500
3787,Lancer Lindwurm,Effect Monster,4,Dragon,WIND,1800,1200
3788,Psi-Beast,Effect Monster,2,Psychic,EARTH,700,500
3789,Roulette Barrel,Effect Monster,4,Machine,LIGHT,1000,2000
3790,Aquamirror Meditation,Trap Card,,Normal,,,
3791,Rocket Hermos Cannon,Fusion Monster,4,Warrior,LIGHT,1500,1300
3792,Skilled White Magician,Effect Monster,4,Spellcaster,LIGHT,1700,1900
3793,Dark Contract with the Gate,Spell Card,,Continuous,,,
3794,Nimble Manta,Effect Monster,2,Fish,WATER,800,100
3795,Armed Dragon LV5,Effect Monster,5,Dragon,WIND,2400,1700
3796,Laval Magma Cannoneer,Effect Monster,4,Pyro,FIRE,1700,200
3797,Metamorphosis,Spell Card,,Normal,,,
3798,"Ruin, Queen of Oblivion",Ritual Effect Monster,8,Fairy,LIGHT,2300,2000
3799,Spellbook of Judgment,Spell Card,,Quick-Play,,,
3800,Tomozaurus,Normal Monster,2,Dinosaur,EARTH,500,400
3801,Trap Master,Flip Effect Monster,3,Warrior,EARTH,500,1100
3802,Magical Ghost,Normal Monster,4,Zombie,DARK,1300,1400
3803,Discord,Trap Card,,Continuous,,,
3804,Metamorformation,Spell Card,,Field,,,
3805,Pixie Ring,Trap Card,,Continuous,,,
3806,Dweller in the Depths,Effect Monster,3,Dragon,EARTH,1500,700
3807,Fire Kraken,Normal Monster,4,Aqua,FIRE,1600,1500
3808,Santa Claws,Effect Monster,6,Fiend,LIGHT,1200,2500
3809,Vampire Orchis,Effect Monster,4,Plant,EARTH,1700,1000
3810,R-Genex Ultimum,Effect Monster,4,Machine,EARTH,1800,1400
3811,Raidraptor - Pain Lanius,Effect Monster,1,Winged Beast,DARK,100,100
3812,Chaos-End Master,Tuner Monster,3,Warrior,LIGHT,1500,1000
3813,Clear Kuriboh,Effect Monster,1,Fairy,LIGHT,300,200
3814,The Transmigration Prophecy,Trap Card,,Normal,,,
3815,Mirror of Oaths,Trap Card,,Normal,,,
3816,Muka Muka,Effect Monster,2,Rock,EARTH,600,300
3817,Galaxy Soldier,Effect Monster,5,Machine,LIGHT,2000,0
3818,"Green Baboon, Defender of the Forest",Effect Monster,7,Beast,EARTH,2600,1800
3819,Crimson Sunbird,Fusion Monster,6,Winged Beast,FIRE,2300,1800
3820,Machine King,Effect Monster,6,Machine,EARTH,2200,2000
3821,Blackwing - Mistral the Silver Shield,Tuner Monster,2,Winged Beast,DARK,100,1800
3822,Hitodenchak,Normal Monster,2,Aqua,WATER,600,700
3823,Vision HERO Trinity,Fusion Monster,8,Warrior,DARK,2500,2000
